ID: 1 | Unit: B-5-15 | Status: vacant
ID: 2 | Unit: B-5-12 | Status: vacant
ID: 3 | Unit: B-5-2 | Status: vacant
ID: 4 | Unit: B-10-1 | Status: vacant
ID: 5 | Unit: B-12-1 | Status: occupied
ID: 6 | Unit: B-13A-12 | Status: vacant
ID: 7 | Unit: B-15-10 | Status: vacant
ID: 8 | Unit: B-16-12 | Status: vacant
ID: 9 | Unit: B-17-2 | Status: vacant
ID: 10 | Unit: B-18-15 | Status: occupied
ID: 11 | Unit: B-19-12 | Status: vacant
ID: 12 | Unit: B-19-2 | Status: vacant
ID: 13 | Unit: B-20-1 | Status: vacant
ID: 14 | Unit: B-20-15 | Status: vacant
ID: 15 | Unit: B-20-12 | Status: vacant
ID: 16 | Unit: B-20-2 | Status: vacant
ID: 17 | Unit: B-21-12 | Status: vacant
ID: 18 | Unit: B-21-2 | Status: vacant
ID: 19 | Unit: B-22-1 | Status: vacant
ID: 20 | Unit: B-22-3 | Status: vacant
ID: 21 | Unit: B-22-5 | Status: vacant
ID: 22 | Unit: B-22-7 | Status: vacant
ID: 23 | Unit: B-22-9 | Status: vacant
ID: 24 | Unit: B-22-11 | Status: vacant
ID: 25 | Unit: B-22-13 | Status: vacant
ID: 26 | Unit: B-22-15 | Status: vacant
ID: 27 | Unit: B-22-12 | Status: vacant
ID: 28 | Unit: B-22-10 | Status: vacant
ID: 29 | Unit: B-22-8 | Status: vacant
ID: 30 | Unit: B-22-6 | Status: vacant
ID: 31 | Unit: B-22-2A | Status: vacant
ID: 32 | Unit: B-22-2 | Status: vacant
ID: 33 | Unit: B-23-13 | Status: vacant
ID: 34 | Unit: B-23-15 | Status: vacant
ID: 35 | Unit: B-23-12 | Status: vacant
ID: 36 | Unit: B-23-2A | Status: vacant
ID: 37 | Unit: B-23-2 | Status: vacant
ID: 38 | Unit: B-23A-7 | Status: vacant
ID: 39 | Unit: B-23A-9 | Status: vacant
ID: 40 | Unit: B-23A-13 | Status: vacant
ID: 41 | Unit: B-23A-10 | Status: vacant
ID: 42 | Unit: B-23A-8 | Status: vacant
ID: 43 | Unit: B-23A-2 | Status: vacant
ID: 44 | Unit: B-25-1 | Status: vacant
ID: 45 | Unit: B-25-3 | Status: vacant
ID: 46 | Unit: B-25-7 | Status: vacant
ID: 47 | Unit: B-25-9 | Status: vacant
ID: 48 | Unit: B-25-11 | Status: vacant
ID: 49 | Unit: B-25-13 | Status: vacant
ID: 50 | Unit: B-25-15 | Status: vacant
ID: 51 | Unit: B-25-12 | Status: vacant
ID: 52 | Unit: B-25-10 | Status: vacant
ID: 53 | Unit: B-25-6 | Status: vacant
ID: 54 | Unit: B-25-2A | Status: vacant
ID: 55 | Unit: B-25-2 | Status: vacant
ID: 56 | Unit: A-5-1 | Status: vacant
ID: 57 | Unit: A-6-1 | Status: vacant
ID: 58 | Unit: A-16-8 | Status: vacant
ID: 59 | Unit: A-18-1 | Status: vacant
ID: 60 | Unit: A-18-8 | Status: vacant
ID: 61 | Unit: A-18-2 | Status: vacant
ID: 62 | Unit: A-19-8 | Status: vacant
ID: 63 | Unit: A-19-2 | Status: vacant
ID: 64 | Unit: A-20-10 | Status: vacant
ID: 65 | Unit: A-21-2 | Status: vacant
ID: 66 | Unit: A-22-1 | Status: vacant
ID: 67 | Unit: A-22-2 | Status: vacant
ID: 68 | Unit: A-23-1 | Status: vacant
ID: 69 | Unit: A-23-3 | Status: sold
ID: 70 | Unit: A-23A-5 | Status: vacant
ID: 71 | Unit: A-23A-9 | Status: vacant
ID: 72 | Unit: A-23A-11 | Status: vacant
ID: 73 | Unit: A-23A-13 | Status: vacant
ID: 74 | Unit: A-23A-10 | Status: vacant
ID: 75 | Unit: A-23A-12 | Status: occupied
ID: 76 | Unit: A-23A-8 | Status: vacant
ID: 77 | Unit: A-23A-6 | Status: vacant
ID: 78 | Unit: A-25-1 | Status: vacant
ID: 79 | Unit: A-25-3 | Status: occupied
ID: 80 | Unit: A-25-10 | Status: vacant
ID: 81 | Unit: A-25-6 | Status: vacant
ID: 82 | Unit: C-0-1 | Status: occupied
ID: 83 | Unit: C-0-2 | Status: occupied
ID: 84 | Unit: C-0-3 | Status: occupied
ID: 85 | Unit: C-0-4 | Status: vacant
ID: 86 | Unit: C-0-5 | Status: occupied
ID: 87 | Unit: C-0-6 | Status: occupied
ID: 88 | Unit: C-0-7 | Status: occupied
ID: 89 | Unit: C-0-8 | Status: occupied
ID: 90 | Unit: C-0-9 | Status: vacant
ID: 91 | Unit: C-0-10 | Status: vacant
ID: 92 | Unit: C-0-11 | Status: occupied
ID: 93 | Unit: C-0-12 | Status: occupied
ID: 94 | Unit: C-0-13 | Status: occupied
ID: 95 | Unit: C-0-13A | Status: occupied
ID: 96 | Unit: C-0-15 | Status: vacant
ID: 97 | Unit: C-0-16 | Status: occupied
ID: 98 | Unit: C-0-17 | Status: occupied
ID: 99 | Unit: C-0-18 | Status: vacant
ID: 100 | Unit: C-0-19 | Status: vacant
ID: 101 | Unit: C-0-20 | Status: vacant
ID: 102 | Unit: C-1-1 | Status: occupied
ID: 103 | Unit: C-1-2 | Status: occupied
ID: 104 | Unit: C-1-3 | Status: vacant
ID: 105 | Unit: C-1-4 | Status: vacant
ID: 106 | Unit: C-1-5 | Status: vacant
ID: 107 | Unit: C-1-6 | Status: vacant
